Timestamp,AF3 Value,AF3 Quality,AF4 Value,AF4 Quality,F3 Value,F3 Quality,F4 Value,F4 Quality,F7 Value,F7 Quality,F8 Value,F8 Quality
2017-03-09 18:14:08.118281,6947,0,669,0,-7049,0,-2978,0,6951,0,-7107,0
2017-03-09 18:14:08.172581,6947,0,669,0,-7049,0,-2978,0,6951,0,-7107,0
2017-03-09 18:14:08.172707,7329,10642,2132,0,5048,0,-7216,0,1722,0,-2399,0
2017-03-09 18:14:08.206701,7329,10642,2132,0,5048,0,-7216,0,1722,0,-2399,0
2017-03-09 18:14:08.207158,7329,10642,2132,0,5048,0,-7216,0,1722,0,-2399,0
2017-03-09 18:14:08.207244,7329,10642,2132,0,5048,0,-7216,0,1722,0,-2399,0
2017-03-09 18:14:08.233637,7329,10642,2132,0,5048,0,-7216,0,1722,0,-2399,0
2017-03-09 18:14:08.233805,7329,10642,2132,0,5048,0,-7216,0,1722,0,-2399,0
2017-03-09 18:14:08.235672,7329,10642,2132,0,5048,0,-7216,0,1722,0,-2399,0
2017-03-09 18:14:08.316635,7329,10642,2132,0,5048,0,-7216,0,1722,0,-2399,0
2017-03-09 18:14:08.316865,6485,10642,3002,0,4134,0,-8186,0,439,0,-6256,0
2017-03-09 18:14:08.335915,6485,10642,3002,0,4134,0,-8186,0,439,0,-6256,0
2017-03-09 18:14:08.335983,6485,10642,3002,0,4134,0,-8186,0,439,0,-6256,0
2017-03-09 18:14:08.336047,6485,10642,3002,0,4134,0,-8186,0,439,0,-6256,0
2017-03-09 18:14:08.336504,-1498,10642,-4827,0,-4302,0,-4230,0,-18,0,5588,0
2017-03-09 18:14:08.336598,-1498,10642,-4827,0,-4302,0,-4230,0,-18,0,5588,0
2017-03-09 18:14:08.336655,-1498,10642,-4827,0,-4302,0,-4230,0,-18,0,5588,0
2017-03-09 18:14:08.336696,-1498,10642,-4827,0,-4302,0,-4230,0,-18,0,5588,0
2017-03-09 18:14:08.336953,7866,10642,4059,0,-1810,0,6466,0,-2008,0,-3691,0
2017-03-09 18:14:08.401873,7866,10642,4059,0,-1810,0,6466,0,-2008,0,-3691,0
2017-03-09 18:14:08.432277,2760,10642,5911,0,5516,0,5837,0,-3728,0,-2280,0
2017-03-09 18:14:08.432324,2760,10642,5911,0,5516,0,5837,0,-3728,0,-2280,0
2017-03-09 18:14:08.432400,5226,10642,-2123,0,2189,0,-2625,0,6297,0,-6636,0
2017-03-09 18:14:08.432440,5226,10642,-2123,0,2189,0,-2625,0,6297,0,-6636,0
2017-03-09 18:14:08.451144,-920,10642,-1843,0,-6558,0,4050,0,-1675,0,-5220,0
2017-03-09 18:14:08.501473,-920,10642,-1843,0,-6558,0,4050,0,-1675,0,-5220,0
2017-03-09 18:14:08.561895,-920,10642,-1843,0,-6558,0,4050,0,-1675,0,-5220,0
2017-03-09 18:14:08.561958,5334,10642,-2406,5428,-7696,0,-7147,0,-2659,0,-892,0
2017-03-09 18:14:08.562029,5334,10642,-2406,5428,-7696,0,-7147,0,-2659,0,-892,0
2017-03-09 18:14:08.562071,5334,10642,-2406,5428,-7696,0,-7147,0,-2659,0,-892,0
2017-03-09 18:14:08.674137,5334,10642,-2406,5428,-7696,0,-7147,0,-2659,0,-892,0
2017-03-09 18:14:08.674238,5334,10642,-2406,5428,-7696,0,-7147,0,-2659,0,-892,0
