Timestamp,AF3 Value,AF3 Quality,AF4 Value,AF4 Quality,F3 Value,F3 Quality,F4 Value,F4 Quality,F7 Value,F7 Quality,F8 Value,F8 Quality
2017-03-09 18:12:58.353888,7237,0,-814,0,2732,0,1987,0,7268,0,-1029,12982
2017-03-09 18:12:58.373929,7237,0,-814,0,2732,0,1987,0,7268,0,-1029,12982
2017-03-09 18:12:58.374027,1731,0,-990,0,4791,0,7589,0,887,0,-1224,12636
2017-03-09 18:12:58.374123,1731,0,-990,0,4791,0,7589,0,887,0,-1224,12636
2017-03-09 18:12:58.425124,1731,0,-990,0,4791,0,7589,0,887,0,-1224,12636
2017-03-09 18:12:58.425348,-508,0,-2605,0,-4387,0,-3552,0,-221,0,7150,12636
2017-03-09 18:12:58.425515,-508,0,-2605,0,-4387,0,-3552,0,-221,0,7150,12636
2017-03-09 18:12:58.434740,-508,0,-2605,0,-4387,0,-3552,0,-221,0,7150,12636
2017-03-09 18:12:58.476177,-508,0,-2605,0,-4387,0,-3552,0,-221,0,7150,12636
2017-03-09 18:12:58.476389,-508,0,-2605,0,-4387,0,-3552,0,-221,0,7150,12636
2017-03-09 18:12:58.476548,1062,0,943,0,7995,9524,-706,0,-5567,0,5547,16095
2017-03-09 18:12:58.476861,1062,0,943,0,7995,9524,-706,0,-5567,0,5547,16095
2017-03-09 18:12:58.500834,1062,0,943,0,7995,9524,-706,0,-5567,0,5547,16095
2017-03-09 18:12:58.500899,1813,0,-5566,0,3944,9524,-5868,0,-2188,529,-287,16095
2017-03-09 18:12:58.500975,1813,0,-5566,0,3944,9524,-5868,0,-2188,529,-287,16095
2017-03-09 18:12:58.500995,1813,0,-5566,0,3944,9524,-5868,0,-2188,529,-287,16095
2017-03-09 18:12:58.501203,1813,0,-5566,0,3944,9524,-5868,0,-2188,529,-287,16095
2017-03-09 18:12:58.501246,1813,0,-5566,0,3944,9524,-5868,0,-2188,529,-287,16095
2017-03-09 18:12:58.501312,1813,0,-5566,0,3944,9524,-5868,0,-2188,529,-287,16095
2017-03-09 18:12:58.501353,1813,0,-5566,0,3944,9524,-5868,0,-2188,529,-287,16095
2017-03-09 18:12:58.501391,1813,0,-5566,0,3944,9524,-5868,0,-2188,529,-287,16095
2017-03-09 18:12:58.501466,-192,0,4941,0,5930,9524,5039,0,-3049,529,-7959,16095
2017-03-09 18:12:58.501506,-192,0,4941,0,5930,9524,5039,0,-3049,529,-7959,16095
2017-03-09 18:12:58.501569,-192,0,4941,0,5930,9524,5039,0,-3049,529,-7959,16095
2017-03-09 18:12:58.501609,-192,0,4941,0,5930,9524,5039,0,-3049,529,-7959,16095
2017-03-09 18:12:58.501690,8048,0,-6532,0,4246,9524,-6845,0,-949,529,6231,16095
2017-03-09 18:12:58.522055,8048,0,-6532,0,4246,9524,-6845,0,-949,529,6231,16095
2017-03-09 18:12:58.522220,-2446,0,1526,0,-6171,9524,7657,0,2116,529,4094,16095
2017-03-09 18:12:58.541390,-2446,0,1526,0,-6171,9524,7657,0,2116,529,4094,16095
2017-03-09 18:12:58.541543,-2446,0,1526,0,-6171,9524,7657,0,2116,529,4094,16095
2017-03-09 18:12:58.569594,-2446,0,1526,0,-6171,9524,7657,0,2116,529,4094,16095
2017-03-09 18:12:58.569657,-2446,0,1526,0,-6171,9524,7657,0,2116,529,4094,16095
2017-03-09 18:12:58.573320,7503,0,3579,0,4557,9524,-4730,0,1301,529,1529,16095
2017-03-09 18:12:58.589699,7503,0,3579,0,4557,9524,-4730,0,1301,529,1529,16095
2017-03-09 18:12:58.589904,7503,0,3579,0,4557,9524,-4730,0,1301,529,1529,16095
2017-03-09 18:12:58.590053,7503,0,3579,0,4557,9524,-4730,0,1301,529,1529,16095
2017-03-09 18:12:58.605778,7503,0,3579,0,4557,9524,-4730,0,1301,529,1529,16095
2017-03-09 18:12:58.622310,7503,0,3579,0,4557,9524,-4730,0,1301,529,1529,16095
2017-03-09 18:12:58.649136,7503,0,3579,0,4557,9524,-4730,0,1301,529,1529,16095
2017-03-09 18:12:58.657677,7503,0,3579,0,4557,9524,-4730,0,1301,529,1529,16095
2017-03-09 18:12:58.657875,7503,0,3579,0,4557,9524,-4730,0,1301,529,1529,16095
2017-03-09 18:12:58.678598,7503,0,3579,0,4557,9524,-4730,0,1301,529,1529,16095
2017-03-09 18:12:58.680340,6870,0,-4996,0,-4399,9524,-6746,0,-5519,529,-2230,16095
2017-03-09 18:12:58.693498,6870,0,-4996,0,-4399,9524,-6746,0,-5519,529,-2230,16095
2017-03-09 18:12:58.698761,6870,0,-4996,0,-4399,9524,-6746,0,-5519,529,-2230,16095
2017-03-09 18:12:58.722799,6870,0,-4996,0,-4399,9524,-6746,0,-5519,529,-2230,16095
2017-03-09 18:12:58.733882,6870,0,-4996,0,-4399,9524,-6746,0,-5519,529,-2230,16095
2017-03-09 18:12:58.741436,6870,0,-4996,0,-4399,9524,-6746,0,-5519,529,-2230,16095
2017-03-09 18:12:58.757748,-6645,0,-1191,0,2117,9524,-4378,0,-5032,529,-4695,16095
2017-03-09 18:12:58.774778,-6645,0,-1191,0,2117,9524,-4378,0,-5032,529,-4695,16095
2017-03-09 18:12:58.799596,-6645,0,-1191,0,2117,9524,-4378,0,-5032,529,-4695,16095
2017-03-09 18:12:58.817346,-6645,0,-1191,0,2117,9524,-4378,0,-5032,529,-4695,16095
2017-03-09 18:12:58.827569,-6645,0,-1191,0,2117,9524,-4378,0,-5032,529,-4695,16095
2017-03-09 18:12:58.837222,-6645,0,-1191,0,2117,9524,-4378,0,-5032,529,-4695,16095
2017-03-09 18:12:58.849657,-6645,0,-1191,0,2117,9524,-4378,0,-5032,529,-4695,16095
2017-03-09 18:12:58.860637,-6645,0,-1191,0,2117,9524,-4378,0,-5032,529,-4695,16095
2017-03-09 18:12:58.883406,4963,0,173,0,7599,9524,3455,0,-7360,529,-7921,16095
2017-03-09 18:12:58.884404,4963,0,173,0,7599,9524,3455,0,-7360,529,-7921,16095
2017-03-09 18:12:58.892060,4963,0,173,0,7599,9524,3455,0,-7360,529,-7921,16095
2017-03-09 18:12:58.903927,4963,0,173,0,7599,9524,3455,0,-7360,529,-7921,16095
